 lrew_j                    SWAT+ Nov 28 2018    MODULAR Rev 2018.57                                       
  jday    mon   day   yr    unit  gis_id  name                 flo_in        flo_out            evap        tloss           sed_in        sed_out       sed_conc       orgn_in        orgn_out         orgp_in        orgp_out        no3_in        no3_out          nh4_in        nh4_out         no2_in        no2_out       solp_in       solp_out         chla_in       chla_out        cbod_in       cbod_out         dis_in        dis_out    solpst_in      solpst_out    sorbpst_in     sorbpst_out       react             volat     setlpst          resuspst       difus         reactb          bury            sedpest              bac           bacl            met            met            met         sand_i        sand_ou         silt_i        silt_ou         clay_i        clay_ou         smag_i        smag_ou          lag_i         lag_ou         grvl_i        grvl_ou         bnk_er          ch_de          ch_de          fp_de        tot_sse
                                                                 ha-m           ha-m            ha-m         ha-m             tons           tons           mg/L           kgN             kgN             kgP             kgP           kgN            kgN              kg             kg             kg             kg           kgP            kgP              kg             kg             kg             kg             kg             kg       mg pst          mg pst        mg pst          mg pst      mg pst                mg      mg pst                mg      mg pst             mg            mg                 mg                                                                                                                                                                                                                                                                                                                                            
   366    12    31  1996       1       1  cha1                 0.1471E+04     0.1465E+04     0.5155E+01     0.0000E+00     0.7348E-01     0.0000E+00     0.0000E+00     0.5632E+00     0.0000E+00     0.2437E+07     0.0000E+00     0.4007E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1395E+02     0.0000E+00     0.1326E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2953E+03     0.0000E+00     0.2833E+01     0.0000E+00     0.2123E+01     0.0000E+00     0.2116E+02     0.0000E+00     0.9810E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1996       2       2  cha2                 0.6208E+03     0.6189E+03     0.1799E+01     0.0000E+00     0.8652E-01     0.0000E+00     0.0000E+00     0.1649E+01     0.0000E+00     0.2799E+07     0.0000E+00     0.5419E+03     0.0000E+00     0.2425E-01     0.0000E+00     0.1212E-01     0.0000E+00     0.1492E+02     0.0000E+00     0.1444E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7573E+03     0.0000E+00     0.7409E+01     0.0000E+00     0.5450E+01     0.0000E+00     0.5444E+02     0.0000E+00     0.8589E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  1996       3       3  cha3                 0.3033E+03     0.3024E+03     0.9146E+00     0.0000E+00     0.4371E-01     0.0000E+00     0.0000E+00     0.7467E+00     0.0000E+00     0.1341E+07     0.0000E+00     0.2649E+03     0.0000E+00     0.4907E-02     0.0000E+00     0.2454E-02     0.0000E+00     0.6133E+01     0.0000E+00     0.6271E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6340E+03     0.0000E+00     0.8842E+01     0.0000E+00     0.8446E+01     0.0000E+00     0.8439E+02     0.0000E+00     0.9429E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1997       1       1  cha1                 0.2353E+04     0.2341E+04     0.6279E+01     0.0000E+00     0.1138E+00     0.0000E+00     0.0000E+00     0.5331E+00     0.0000E+00     0.3250E+07     0.0000E+00     0.5119E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2698E+02     0.0000E+00     0.2980E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3466E+03     0.0000E+00     0.3473E+01     0.0000E+00     0.2798E+01     0.0000E+00     0.2791E+02     0.0000E+00     0.9783E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1997       2       2  cha2                 0.1009E+04     0.1005E+04     0.2100E+01     0.0000E+00     0.1547E+00     0.0000E+00     0.0000E+00     0.1771E+01     0.0000E+00     0.3930E+07     0.0000E+00     0.4818E+04     0.0000E+00     0.6402E-02     0.0000E+00     0.3201E-02     0.0000E+00     0.3674E+02     0.0000E+00     0.3871E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1040E+04     0.0000E+00     0.9415E+01     0.0000E+00     0.7502E+01     0.0000E+00     0.7496E+02     0.0000E+00     0.8566E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1997       3       3  cha3                 0.5344E+03     0.5330E+03     0.9733E+00     0.0000E+00     0.8325E-01     0.0000E+00     0.0000E+00     0.8540E+00     0.0000E+00     0.2040E+07     0.0000E+00     0.4031E+04     0.0000E+00     0.1656E-02     0.0000E+00     0.8098E-03     0.0000E+00     0.1693E+02     0.0000E+00     0.1827E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7473E+03     0.0000E+00     0.1014E+02     0.0000E+00     0.9855E+01     0.0000E+00     0.9848E+02     0.0000E+00     0.9404E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1998       1       1  cha1                 0.3044E+04     0.3042E+04     0.8492E+01     0.0000E+00     0.1147E+00     0.0000E+00     0.0000E+00     0.4263E+00     0.0000E+00     0.5750E+07     0.0000E+00     0.1247E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1014E+02     0.0000E+00     0.1573E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3717E+03     0.0000E+00     0.3655E+01     0.0000E+00     0.3061E+01     0.0000E+00     0.3054E+02     0.0000E+00     0.9783E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1998       2       2  cha2                 0.1241E+04     0.1240E+04     0.2719E+01     0.0000E+00     0.1418E+00     0.0000E+00     0.0000E+00     0.1250E+01     0.0000E+00     0.6709E+07     0.0000E+00     0.1737E+05     0.0000E+00     0.3714E-03     0.0000E+00     0.1396E-03     0.0000E+00     0.1701E+02     0.0000E+00     0.2790E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8605E+03     0.0000E+00     0.7918E+01     0.0000E+00     0.6225E+01     0.0000E+00     0.6219E+02     0.0000E+00     0.8566E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1998       3       3  cha3                 0.7390E+03     0.7383E+03     0.1122E+01     0.0000E+00     0.8570E-01     0.0000E+00     0.0000E+00     0.6088E+00     0.0000E+00     0.3960E+07     0.0000E+00     0.8562E+04     0.0000E+00     0.5003E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.9022E+01     0.0000E+00     0.1493E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7287E+03     0.0000E+00     0.9745E+01     0.0000E+00     0.9598E+01     0.0000E+00     0.9591E+02     0.0000E+00     0.9404E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1999       1       1  cha1                 0.9574E+03     0.9536E+03     0.3799E+01     0.0000E+00     0.3362E-01     0.0000E+00     0.0000E+00     0.4423E+00     0.0000E+00     0.1118E+07     0.0000E+00     0.2205E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2947E+01     0.0000E+00     0.4080E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1417E+03     0.0000E+00     0.1744E+01     0.0000E+00     0.1017E+01     0.0000E+00     0.1009E+02     0.0000E+00     0.9783E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1999       2       2  cha2                 0.5349E+03     0.5331E+03     0.1766E+01     0.0000E+00     0.7339E-01     0.0000E+00     0.0000E+00     0.1368E+01     0.0000E+00     0.2447E+07     0.0000E+00     0.2728E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7546E+01     0.0000E+00     0.1054E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6662E+03     0.0000E+00     0.6848E+01     0.0000E+00     0.4805E+01     0.0000E+00     0.4798E+02     0.0000E+00     0.8566E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1999       3       3  cha3                 0.1728E+03     0.1723E+03     0.5714E+00     0.0000E+00     0.2405E-01     0.0000E+00     0.0000E+00     0.5585E+00     0.0000E+00     0.7648E+06     0.0000E+00     0.2550E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2851E+01     0.0000E+00     0.3289E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3965E+03     0.0000E+00     0.5880E+01     0.0000E+00     0.5298E+01     0.0000E+00     0.5290E+02     0.0000E+00     0.9404E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2000       1       1  cha1                 0.7019E+03     0.6974E+03     0.3419E+01     0.0000E+00     0.2854E-01     0.0000E+00     0.0000E+00     0.4679E+00     0.0000E+00     0.8398E+06     0.0000E+00     0.4012E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2908E+01     0.0000E+00     0.3582E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1828E+03     0.0000E+00     0.1990E+01     0.0000E+00     0.1307E+01     0.0000E+00     0.1299E+02     0.0000E+00     0.9810E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2000       2       2  cha2                 0.3280E+03     0.3266E+03     0.1192E+01     0.0000E+00     0.4793E-01     0.0000E+00     0.0000E+00     0.1351E+01     0.0000E+00     0.1398E+07     0.0000E+00     0.7646E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5815E+01     0.0000E+00     0.7120E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5929E+03     0.0000E+00     0.6230E+01     0.0000E+00     0.4255E+01     0.0000E+00     0.4249E+02     0.0000E+00     0.8589E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2000       3       3  cha3                 0.1741E+03     0.1734E+03     0.6316E+00     0.0000E+00     0.2558E-01     0.0000E+00     0.0000E+00     0.6111E+00     0.0000E+00     0.7413E+06     0.0000E+00     0.7790E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2789E+01     0.0000E+00     0.3814E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4389E+03     0.0000E+00     0.6358E+01     0.0000E+00     0.5845E+01     0.0000E+00     0.5837E+02     0.0000E+00     0.9429E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       1       1  cha1                 0.8867E+03     0.8836E+03     0.4112E+01     0.0000E+00     0.3613E-01     0.0000E+00     0.0000E+00     0.4285E+00     0.0000E+00     0.1296E+07     0.0000E+00     0.3314E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2839E+01     0.0000E+00     0.4683E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1844E+03     0.0000E+00     0.2000E+01     0.0000E+00     0.1393E+01     0.0000E+00     0.1385E+02     0.0000E+00     0.9783E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       2       2  cha2                 0.4069E+03     0.4058E+03     0.1409E+01     0.0000E+00     0.5495E-01     0.0000E+00     0.0000E+00     0.1338E+01     0.0000E+00     0.1903E+07     0.0000E+00     0.5211E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5104E+01     0.0000E+00     0.8399E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5846E+03     0.0000E+00     0.6013E+01     0.0000E+00     0.4200E+01     0.0000E+00     0.4193E+02     0.0000E+00     0.8566E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
